"""Remember Me"" Default Value","""Запомнить меня"" значение по умолчанию"
"(Not %s?)","(Не %s?)"
"* Required Fields","* Обязательные поля"
"Address","Адрес"
"Address Information","Информация об адресе"
"Already registered?","Уже зарегистрированы??"
"Back","Вернуться"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Создав учётную запись на нашем сайте, вы будете тратить меньше времени на оформление заказа, сможете хранить несколько адресов доставки, отслеживать состояние заказов, а также многое другое."
"Cannot load configuration from file %s.","Невозможно загрузить конфигурацию из файла %s."
"Checkout as Guest","Оформить заказ как Гость"
"Checkout as a Guest or Register","Оформить заказ как Гость или Зарегистрироваться"
"City","Город"
"Clear Persistence on Log Out","Очистить Persistence при выходе"
"Close","Закрыть"
"Company","Компания"
"Confirm Password","Подтвердите пароль"
"Continue","Продолжить"
"Country","Страна"
"Create an Account","Создать учётную запись"
"Easy access to your order history and status","Удобный доступ к истории и статусам ваших заказов"
"Email Address","Адрес электронной почты (email)"
"Enable ""Remember Me""","Включить ""Запомнить меня"""
"Enable Persistence","Включить Persistence"
"Fast and easy check out","Быстрое оформление заказа"
"Fax","Факс"
"Forgot Your Password?","Забыли пароль?"
"Forgot your password?","Забыли пароль?"
"General Options","Общие параметры"
"If you have an account with us, please log in.","Если у вас есть учётная запись на нашем сайте, пожалуйста, авторизируйтесь."
"Loading next step...","Идёт загрузка следующего шага..."
"Login","Login"
"Login Information","Информация для авторизации"
"Login or Create an Account","Страница авторизации"
"New Customers","Новые клиенты"
"Password","Пароль"
"Persist Shopping Cart","Persist корзина покупок"
"Persistence Lifetime (seconds)","Время жизни Persistence (в секундах)"
"Persistent Shopping Cart","Persistent корзина покупок"
"Personal Information","Личная информация"
"Please log in below:","Пожалуйста, введите информацию для входа:"
"Please select region, state or province","Пожалуйста, выберите регион, область или район"
"Register","Зарегистрируйтесь"
"Register and save time!","Зарегистрируйтесь и экономьте время!"
"Register to Create an Account","Зарегистрируйтесь для создания учётной записи"
"Register with us for future convenience:","Зарегистрируйтесь на сайте для удобства в будущем:"
"Registered Customers","Зарегистрированные клиенты"
"Remember Me","Запомнить меня"
"Save in address book","Сохранить в адресной книге"
"Select State/Province...","Выберите Штат/провинцию..."
"Select a billing address from your address book or enter a new address.","Выберите адрес, который будет использоваться при создании счёта, из вашей адресной книги или введите новый адрес."
"Ship to different address","Доставить по другому адресу"
"Ship to this address","Доставить на этот адрес"
"Sign Up for Newsletter","Подписаться на рассылку"
"State/Province","Штат/Область"
"Street Address","Адрес"
"Street Address %s","Адрес %s"
"Submit","Отправить"
"Telephone","Телефон"
"Welcome, %s!","Добро пожаловать, %s!"
"What\'s this?","Что это?"
"Zip/Postal Code","Почтовый индекс"
