"Main configuration", "Configura&ccedil;&atilde;o principal"
"<b>Important note:</b> Once the extension is installed, your clients won't get personalized recommendations until at least <b>24 hours</b> after. Read carefully the <b>documentation</b> included in the extension package.", "<b>Importante nota:</b> Depois de instalar a extens&atilde;o, seus clientes n&atilde;o recebem recomenda&ccedil;&otilde;es personalizadas durante as primeiras <b>24 horas</b>. Leia a <b>documenta&ccedil;&atilde;o</b> inclu&iacute;do no pacote de expans&atilde;o."
"Version", "Vers&atilde;o"
"Current version of the extension.", "A vers&atilde;o atual da extens&atilde;o."
"Enable", "Active"
"Activate/Deactivate Blueknow Recommender.", "Activar/Desactivar Blueknow Recommender."
"Unique identifier assigned to this eCommerce.<br />Do you need one? Obtain it for free at <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>here</a>.", "Identificador &uacute;nico atribu&iacute;do a esta eCommerce.<br />Voc&ecirc; precisa de um? Obt&ecirc;-lo gratuitamente <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>aqui</a>"
"Cross-sell recommendations", "Recomenda&ccedil;&otilde;es cross-sell"
"Activate/Deactivate cross-sell recommendations in product detail page.", "Activar/Desactivar recomenda&ccedil;&otilde;es cross-sell na p&aacute;gina de detalhes do produto."
"Recommendations", "Recomenda&ccedil;&otilde;es"
"Number of cross-sell recommendations to show in product detail page.", "N&uacute;mero de recomenda&ccedil;&otilde;es cross-sell para mostrar na p&aacute;gina de detalhes do produto."
"Up-sell recommendations", "Recomenda&ccedil;&otilde;es up-sell"
"Activate/Deactivate up-sell recommendations in shopping cart page.", "Activar/Desactivar recomenda&ccedil;&otilde;es up-sell na p&aacute;gina do carrinho de compras."
"Number of up-sell recommendations to show in shopping cart page.", "N&uacute;mero de recomenda&ccedil;&otilde;es up-sell para mostrar na p&aacute;gina do carrinho de compras."

"You may also be interested in the following products", "Voc&ecirc; pode tamb&eacute;m estar interessado nos seguintes produtos"
"Customers who bought these products also bought", "Os clientes que compraram estes produtos tamb&eacute;m compraram"
