"Main configuration", "Hauptkonfiguration"
"<b>Important note:</b> Once the extension is installed, your clients won't get personalized recommendations until at least <b>24 hours</b> after. Read carefully the <b>documentation</b> included in the extension package.", "<b>Wichtiger Hinweis:</b> Sobald die Erweiterung installiert ist, wird Ihre Kunden nicht bekommen pers&ouml;nliche Empfehlungen bis mindestens <b>24 Stunden</b> nach. Lesen Sie sorgf&auml;ltig die <b>Dokumentation</b>, die in der Verl&auml;ngerung Paket."
"Version", "Version"
"Current version of the extension.", "Aktuelle Version dieser Erweiterung."
"Enable", "Aktiviert"
"Activate/Deactivate Blueknow Recommender.", "Aktivieren/Deaktivieren Blueknow Recommender."
"Unique identifier assigned to this eCommerce.<br />Do you need one? Obtain it for free at <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>here</a>.", "Eindeutige Kennung zu diesen eCommerce zugeordnet.<br />Brauchen Sie einen? Bekommen Sie es konstenlos <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>bei</a>."
"Cross-sell recommendations", "Cross-sell Empfehlungen"
"Activate/Deactivate cross-sell recommendations in product detail page.", "Aktivieren/deaktivieren cross-sell Empfehlungen auf der Produktseite."
"Recommendations", "Empfehlungen"
"Number of cross-sell recommendations to show in product detail page.", "Anzhal von cross-sell Empfehlungen, die auf der Produktseite angezeigt werden."
"Up-sell recommendations", "Up-sell Empfehlungen"
"Activate/Deactivate up-sell recommendations in shopping cart page.", "Aktivieren/Deaktivieren Up-sell Empfehlungen auf der Einkaufswagenseite."
"Number of up-sell recommendations to show in shopping cart page.", "Anzhal von up-sell Empfehlungen, die auf der Einkaufswagenseite angezeigt werden."

"You may also be interested in the following products", "Sie k&ouml;nnen auch Interesse an folgende Produkte haben"
"Customers who bought these products also bought", "Kunden, die diesen Artikel gekauft haben, kauften auch"
