"# of Use","使用次数"
"%1$s incl tax.","%1$s 含税。"
"%s - %s","%s - %s"
"%s Item(s)","%s件商品"
"(Copy data from: %s)","(复制数据自: %s)"
"(Will make search for the query above return results for this search.)","(该搜索将以上面返回的结果来查询。)"
"* Required Fields","* 必填项"
"-- Please Select --","-- 请选择 --"
"A name is required","名字必填"
"ALL GROUPS","所有分组"
"AM","AM"
"Action","操作"
"Add Attribute","增加属性"
"Add Design Change","增加设计修改"
"Add Group","增加分组"
"Add Items to Cart","加到购物车"
"Add New Attribute Set","增加新属性组合"
"Add New Attribute","增加新属性"
"Add New Group","增加新分组"
"Add New Images","增加新图片"
"Add New Option","添加新的选项"
"Add New Row","添加新行"
"Add New Search Term","增加新搜索关键词"
"Add New Set","增加新组合"
"Add New","增加"
"Add Option","增加选项"
"Add Product To Websites","增加商品到网站"
"Add Product","增加商品"
"Add Root Category","添加根目录"
"Add Subcategory","添加子目录"
"Add Tax","添加税"
"Add Tier","增加层次"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to My Wishlist","加入收藏"
"Add to Wishlist","加入收藏"
"Additional Information","附加信息"
"All Product Types","所有商品类型"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","所有使用此属性集合的商品将会被删除！您确定要删除此属性集合吗？"
"All","所有"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To Configurable/Grouped Product","应用于可设置/组合商品"
"Apply To","应用于"
"Approved","已批准"
"Are you sure you want to delete this category?","您确定要删除该分类吗？"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","您确定要从比较商品中删除本商品吗？"
"Are you sure?","您确定吗？"
"As low as:","低至："
"Assign product link","指定商品链接"
"Assign product to category","添加商品到分类"
"Assign","指定"
"Assigned Products","已指定商品"
"Associated Products","关联商品"
"Attrib. Set Name","属性组合名称"
"Attribute Code","属性代码"
"Attribute Information","属性信息"
"Attribute Label","属性标签"
"Attribute Model","属性模型"
"Attribute Name:","属性名称："
"Attribute Properties","属性参数"
"Attribute Set","属性组合"
"Attribute group with the ""/name/"" name already exists","名为 ""/name/"" 的属性组已存在"
"Attribute model not defined","属性模型未定义"
"Attribute with the same code already exists","属性代码已存在"
"Attributes","属性"
"Attrribute names can be specified per store.","同一属性可为每一个商店指定不同的名称。"
"Autogenerate","自动生成"
"Availability","库存"
"Availability:","库存:"
"Availability: In stock.","库存：有货"
"Availability: Out of stock.","库存：缺货。"
"Back","返回"
"Backend Model","后台型号"
"Backorders","延期交货订单"
"Base directory to upload image file is not specified","没有设定上传图片文件的基准目录"
"Based On","基于"
"Best Value","超值"
"Block after Info Column","信息栏之后的区块"
"Bottom/Left","左下"
"Bottom/Right","右下"
"Browse By","查看"
"Buy %1$s for %2$s (%3$s incl. tax) each","购买 %1$s，每件仅需 %2$s (%3$s 含税)"
"Buy %1$s for %2$s each","购买 %1$s，每件仅需 %2$s"
"Buy %1$s for %2$s","购买 %1$s，每件 %2$s"
"Can be used only with catalog input type Dropdown","仅用于目录下拉菜单"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","仅用于目录下拉菜单、多重选择和价格"
"Can't create image.","无法创建图片。"
"Cannot create writeable directory '%s'","不能建立可写目录 '%s'"
"Cart Item Attribute","购物车商品属性"
"Catalog Input Type for Store Owner","店主的目录输入类型"
"Catalog Price Scope","目录价格范围"
"Catalog Section","目录单元"
