Product Points,Produkt-Punkte
Shopping Points,Einkaufen Punkte
Friends Referral,Freunde Überweisung
You must Log In for use the Shopping points,Sie müssen für die Verwendung Einkaufen Punkte Anmelden
Total Cart Points,Insgesamt Warenkorb Punkte
Your Total Points,Ihre Gesamtpunktzahl
Your Points Balance,Ihre aktuellen Punktestand
To get a discount you need at least %d points.,Um einen Rabatt zu erhalten benötigen Sie mindestens %d Punkte.
Please Select the quantity of points you want to use.,Bitte wählen Sie die Menge der Punkte die Sie verwenden möchten.
Maximum amount of points allowed for this order,Maximale Anzahl von Punkten erlaubt für dies bestellen
Please input the quantity of points you want to use.,Bitte geben Sie die Menge der Punkte die Sie verwenden möchten.
Apply Points,Punkte aufwenden
Remove Points,Punkte entfernen 
%d points,%d Punkte
You are currently using all your available points!,Sie sind zur Zeit alle Ihre verfügbaren Punkte!
You are currently using %d points,Sie sind zur Zeit %d Punkte
Points Details,Einzelheiten Punkte
Your Available Points,Ihre Erhältliche Punkte
Total Accumulated Points,Gesamtpunkte Akkumulierten
Total Points Spent,Gesamtpunkte Ausgegeben
Points waiting for validation,Punkte wartet auf Überprüfung
Your Shopping Points History,Ihr Einkaufen Punkte History
Type of point,Punktetyp
Points added,Punkte hinzugefügt
Points used,Punkte verwendet
Obtention date,Erhaltsdatum
Valid until,gültig bis
You dont have any recorded points.,Sie haben noch keine aufgezeichneten Punkte.
Points Information,Punkte Informationen
For any first valid order placed by a referred friend you will earn: <strong>%s points</strong>,Bei der ersten Lieferung von einem geworbenen Freund platziert Sie verdienen: <strong>%s Punkte!</strong>
For any first valid order placed by a referred friend he will earn: <strong>%s extra points!</strong>,Bei der ersten Lieferung von einem geworbenen Freund platziert wird er verdienen: <strong>%s Extra-Punkte!</strong>
Your Permanent Link,Ihr Permanent Link
Share the following link with your friends,Aktie der folgende Link mit deinen Freunden
Share Referring link,Bezugnehmend Anteil Link
Title,Titel
Great deals here!,Tolle Angebote hier!
Comment,Kommentar
Visit this for great deals!,Besuchen Sie diese für tolle Angebote!
Refer a Friend,Einen Freund empfehlen
Your Referral History,Ihr Überweisung History
Full Name,Vollständiger Name
Email,Email
Registered,Eingetragen
First Order,Erste Bestellen
You did not made any friends referral yet.,Du hast keine Freunde Überweisung abgegeben.


--- ERRORS ---


Not enough points available.,Nicht genug Punkte zur Verfügung.
The minimum required points is not reached,Die mindestens erforderlichen Punkte nicht erreicht
Amount of points wrongly used,Anzahl der Punkte falsch verwendet
yes,ja
no,nein
Please enter a valid email address,Bitte geben Sie eine gültige E-Mail Adresse
Please enter your friend name,Bitte geben Sie Ihren Freund Name
This email has been already submitted,Diese E-Mail wurde bereits eingereicht
There was a problem with the invitation,Es gab ein Problem mit der Einladung
This email was successfully invited,Diese E-Mail wurde erfolgreich eingeladen


--- BACK END ---


Statistics,Statistics
Award Points,Award Points
Customer full name,Customer full name
Customer email,Customer email
Add New,Add New
Action Type,Action Type
Rule Title,Rule Title
Type of action,Type of action
Check Order Points,Check Order Points
Refresh customer points,Refresh customer points
Defaults,Defaults


--- ADDITIONAL BACK END ---

Customer Points,Customer Points
Points Configuration (Powered by Arcanum Dev.),Points Configuration (Powered by Arcanum Dev.)
General,General
Extension Release,Extension Release
About Us,About Us
Factor Money to Point,Factor Money to Point
Points gathered for 1 unit of money spent. (e.g. if set to 0.01, the client will obtain 1 point for each 100yen spent. If set to 1 the client will obtain 1 point for each yen spent).,Points gathered for 1 unit of money spent. (e.g. if set to 0.01, the client will obtain 1 point for each 100yen spent. If set to 1 the client will obtain 1 point for each yen spent).
Factor Point to Money,Factor Point to Money
Amount of points required to obtain a discount.(e.g. if set to 1, 1 point will equal to 1 yen discount. If set to 10, 10 point will equal to 1 yen discount),Amount of points required to obtain a discount.(e.g. if set to 1, 1 point will equal to 1 yen discount. If set to 10, 10 point will equal to 1 yen discount)
Points Expiration,Points Expiration
Points expiration days (use 0 for unlimited).,Points expiration days (use 0 for unlimited).
Maximum points collected per order,Maximum points collected per order
Maximum amount of points that can be collected per order (use 0 for unlimited).,Maximum amount of points that can be collected per order (use 0 for unlimited).
Maximum points used per order,Maximum points used per order
Maximum amount of points that can be used per order (use 0 for unlimited).,Maximum amount of points that can be used per order (use 0 for unlimited).
Minimum Subtotal,Minimum Subtotal
Minimum Subtotal value in which the points cannot be applied (if set to 0 the system will allow to apply points until reaching a subtotal of 0),Minimum Subtotal value in which the points cannot be applied (if set to 0 the system will allow to apply points until reaching a subtotal of 0)
Automatic use of points,Automatic use of points
The maximum amount of point for the cart will be apply to the order automatically.,The maximum amount of point for the cart will be apply to the order automatically.
Apply points by step,Apply points by step
Apply the points using a step by step method (Dropdown box),Apply the points using a step by step method (Dropdown box)
Step value,Step value
The amount of money for each step. e.g. 100, 200, 500, etc.,The amount of money for each step. e.g. 100, 200, 500, etc.
Use max amount of points,Use max amount of points
Apply the maximum amount of point to the order,Apply the maximum amount of point to the order
Calculation Method,Calculation Method
Type of Calculation method which will be used when converting money to points,Type of Calculation method which will be used when converting money to points
Disable Coupon codes,Disable Coupon codes
If enabled, the customers will not be able to use coupon codes and award points at the same time within an order.,If enabled, the customers will not be able to use coupon codes and award points at the same time within an order.
Use store scope,Use store scope
If enabled, the points collected will be available only for the same store in which the points were earned.,If enabled, the points collected will be available only for the same store in which the points were earned.
Registration and Referral Points,Registration and Referral Points
Registration Points,Registration Points
Amount of points earned upon customer registration.,Amount of points earned upon customer registration.
Review Points,Review Points
Amount of points the customer will earn when his review is approved.,Amount of points the customer will earn when his review is approved.
Enable Referral Points,Enable Referral Points
Enable the Referral Points System on user account Navigation Panel,Enable the Referral Points System on user account Navigation Panel
Referral Points,Referral Points
Amount of points earned by the customer for a referred friend orders.,Amount of points earned by the customer for a referred friend orders.
Referral child Points,Referral child Points
Amount of points earned by referred friend for their first order.,Amount of points earned by referred friend for their first order.
Show referral permanent link,Show referral permanent link
This will allow customers to share permanently their permanent link to refer friends.
Share with addthis,Share with addthis
Allow the customers to share their permanent link using addthis.,Allow the customers to share their permanent link using addthis.
addthis account name,addthis account name
Store Owner addthis account name. Visit addthis.com to create an account.,Store Owner addthis account name. Visit addthis.com to create an account.
Select email template (Referral subscribe),Select email template (Referral subscribe)
