"Action","Действие"
"<a href=\'%s\'>Register here</a>!","<a href=\'%s\'>Зарегестрироваться</a>!"
"Approve","Принять"
"Approved","Принят"
"Are you sure?","Вы уверены?"
"Can not create post.","Не могу создать запись."
"Change status","Изменить статус"
"Comment","Отзыв"
"Comment Information","Информация о отзыве"
"Comment is not exists.","Отзыв не существует."
"Comments","Отзывы"
"Comment was not approved (%s).","Отзыв не был принят (%s)."
"Comment was not deleted (%s).","Отзыв не был удален (%s)."
"Comment was not rejected (%s).","Отзыв не был отклонен (%s)."
"Comment was successfully approved.","Отзыв был принят."
"Comment was successfully deleted.","Отзыв был удален."
"Comment was successfully rejected.","Отзыв был отклонен."
"Comment was successfully saved.","Отзыв был сохранен."
"Created At","Дата создания"
"Customer","Покупатель"
"Delete Comment","Удалить комментарий"
"Delete","Удалить"
"Don't have an account?","Еще не зарегестрированы?"
"Edit Comment of '%s'","Редактирование комментария '%s'"
"Email","Email"
"Enter your comment here...","Напишите здесь отзыв..."
"Enter your reply here...","Напишите здесь ответ..."
"Error while saving the comment (%s).","Ошибка во время сохранения комментария (%s)."
"General","Основной"
"Guestbook","Отзывы"
"Guest Book","Отзывы"
"Home","Главная"
"ID","ID"
"Leave a Comment","Оставить отзыв"
"Leave a Reply","Ответить"
"Name","Имя"
"Newer Entries","Предыдущие"
"(Not published)","(Не публикуется)"
"Older Entries","Последубщие"
"Pending","Ожидает решения"
"Please <a href=\'%s\'>login</a> to comment.","Пожалуйста <a href=\'%s\'>авторизуйтесь</a>, чтобы написать отзыв."
"Please <a href=\'%s\'>login</a> to reply.","Пожалуйста <a href=\'%s\'>авторизуйтесь</a>, чтобы написать ответ."
"Posted from","Отправлено с"
"Rejected","Отклонен"
"Reject","Отклонить"
"Reply","Ответить"
"Reply To","Ответить"
"(required)","(обязательно)"
"%s at %s","%s из %s"
"Save And Continue Edit","Сохранить и Продолжить"
"Save Comment","Сохранить"
"%s comments","%s отзывов"
"%s comments successfully deleted.","%s отзывов удалено."
"%s comments successfully updated.","%s отзывов обновлено."
"%s comments was not deleted.","%s отзывов не удалено."
"%s comments was not updated.","%s отзывов не обновлено."
"Status","Статус"
"Store View","Вид магазина"
"Subject","Тема"
"Submit","Отправить"
"There are no comments.","Еще нет ни одного отзыва."
"This post will become public after administrator approval.","Этот отзыв будет опубликован сразу после проверки администратором."
"Updated At","Дата изменения"
"View","Вид"
"Your session was expired. Please refresh this page and try again.","Ваша сессия истекла. Обновите страницу и попробуйте снова."
