"Main configuration", "Configuration principale"
"<b>Important note:</b> Once the extension is installed, your clients won't get personalized recommendations until at least <b>24 hours</b> after. Read carefully the <b>documentation</b> included in the extension package.", "<b>Important note:</b> Apr&egrave;s avoir install&eacute; l'extension, leurs clients ne re&ccedil;oivent pas nos recommandations personnalis&eacute;s au cours des <b>24 premi&egrave;res heures</b>. Lire la <b>documentation</b> inclus dans le pack d'extension."
"Version", "Version"
"Current version of the extension.", "La version actuelle de l'extension."
"Enable", "Active"
"Activate/Deactivate Blueknow Recommender.", "Activer/D&eacute;sactiver Recommender Blueknow."
"Unique identifier assigned to this eCommerce.<br />Do you need one? Obtain it for free at <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>here</a>.", "Identificateur unique attribu&eacute; &agrave; ce eCommerce.<br />Besoin d'une? Obtenez-le gratuitement <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>ici</a>."
"Cross-sell recommendations", "Cross-sell recommandations"
"Activate/Deactivate cross-sell recommendations in product detail page.", "Activer/D&eacute;sactiver la vente crois&eacute;e de recommandations dans la page d&eacute;taill&eacute;e du produit."
"Recommendations", "Recommandations"
"Number of cross-sell recommendations to show in product detail page.", "Nombre de cross-sell recommandations &agrave; afficher dans la page d&eacute;taill&eacute;e du produit."
"Up-sell recommendations", "Up-sell recommandations"
"Activate/Deactivate up-sell recommendations in shopping cart page.", "Activer/D&eacute;sactiver up-sell recommandations en page du panier."
"Number of up-sell recommendations to show in shopping cart page.", "Nombre de up-sell recommandations &agrave; afficher dans la page panier."

"You may also be interested in the following products", "Vous pouvez &eacute;galement &ecirc;tre int&eacute;ress&eacute; par les produits suivants"
"Customers who bought these products also bought", "Les clients qui ont achet&eacute; ces produits ont &eacute;galement achet&eacute;"
