"Main configuration", "Configuraci&oacute;n principal"
"<b>Important note:</b> Once the extension is installed, your clients won't get personalized recommendations until at least <b>24 hours</b> after. Read carefully the <b>documentation</b> included in the extension package.", "<b>Nota importante:</b> Despu&eacute;s de instalar la extensi&oacute;n, sus clientes no obtendr&aacute;n recomendaciones personalizadas durante las primeras <b>24 horas</b>. Lea detenidamente la <b>documentaci&oacute;n</b> incluida en el paquete de la extensi&oacute;n."
"Version", "Versi&oacute;n"
"Current version of the extension.", "Versi&oacute;n actual de la extensi&oacute;n."
"Enable", "Activado"
"Activate/Deactivate Blueknow Recommender.", "Activa/Desactiva Blueknow Recommender."
"Unique identifier assigned to this eCommerce.<br />Do you need one? Obtain it for free at <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>here</a>.", "Identificador &uacute;nico asignado a este eCommerce.<br />&iquest;Necesita uno? Cons&iacute;galo gratis <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>aqu&iacute;</a>."
"Cross-sell recommendations", "Recomendaciones cross-sell"
"Activate/Deactivate cross-sell recommendations in product detail page.", "Activa/Desactiva las recomendaciones cross-sell en la p&aacute;gina de producto."
"Recommendations", "Recomendaciones"
"Number of cross-sell recommendations to show in product detail page.", "N&uacute;mero de recomendaciones cross-sell a mostrar en la p&aacute;gina de producto."
"Up-sell recommendations", "Recomendaciones up-sell"
"Activate/Deactivate up-sell recommendations in shopping cart page.", "Activa/Desactiva las recomendaciones up-sell en la p&aacute;gina del carrito."
"Number of up-sell recommendations to show in shopping cart page.", "N&uacute;mero de recomendaciones up-sell a mostrar en la p&aacute;gina del carrito."

"You may also be interested in the following products", "Tambi&eacute;n te pueden interesar los siguientes productos"
"Customers who bought these products also bought", "Los clientes que compraron estos productos tambi&eacute;n compraron"
