"* Required Fields","* 必填栏目"
"A new password was sent","新的密码已经发出"
"Account Dashboard","帐号面板"
"Account Information","帐户信息"
"Account Sharing Options","帐户共享选项"
"Account information was successfully saved","成功保存帐户信息"
"Action","操作"
"Add New Address","增加新的地址"
"Add New Customer Group","增加新的客户分组"
"Add New Customer","增加新的客户"
"Added From","加自"
"Additional Address Entries","其它地址项"
"Address Book","地址簿"
"Address Information","地址信息"
"Address","地址"
"Addresses","地址"
"Admin","管理员"
"All Store Views","所有商店视图"
"All countries","所有国家"
"All","所有"
"Always optional","总是可选"
"Amount","金额"
"Approved","已批准"
"Are you sure that you want to remove this item?","您确认要删除该项目吗？"
"Are you sure you want to cancel adding of this address?","您确认要取消增加该地址吗？"
"Are you sure you want to delete this address?","您确认要删除该地址吗？"
"Are you sure?","您确定吗？"
"Array of Entity collections is expected","需要实体组合的数组"
"Assign a customer group","指定客户分组"
"Average Sale","平均销售"
"Back to Login","返回登录"
"Back","返回"
"Bad request.","错误的请求。"
"Bill to Name","账单收件人"
"Billing Information","账单信息"
"Bought From","购买自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","注册您自己的帐户，结帐方便迅速，而且可以保存多个送货地址、查看订单状态等。"
"CSV","CSV"
"Can't save address","无法保存地址"
"Can't save customer","无法保存客户"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","客户帐号无法全局共享，因为部分客户帐号在在多个网站使用相同的电子邮件，记录无法合并。"
"Cancel","取消"
"Change Account Password","修改帐户密码"
"Change Billing Address","修改账单地址"
"Change Password","修改密码"
"Change Shipping Address","修改配送地址"
"City","城市"
"Company","公司"
"Config","设置"
"Confirm New Password","确认新的密码"
"Confirm Password","确认密码"
"Confirmation Link Email","确认链接邮件"
"Confirmed","已验证"
"Contact Information","联系信息"
"Continue Shopping","继续购物"
"Country","国家"
"Create New Account Options","新帐户选项"
"Create New Customer Account","新建客户帐号"
"Create Order","创建订单"
"Create an Account","创建帐号"
"Create customer address","创建客户地址"
"Create customer","创建客户帐号"
"Create","创建"
"Current Password","当前密码"
"Customer Addresses","客户地址"
"Customer Api","客户Api"
"Customer Configuration","客户设置"
"Customer Group was successfully deleted","成功删除客户分组"
